postcode,lat,lon,sub_category
OL8 3AJ,53.521035,-2.120788,SMART_TO_SMART_MEX
AB51 5JY,57.256698,-2.48299,TRAD_TO_SMART_MEX
SW8 1EF,51.480031,-0.122523,TRAD_TO_SMART_MEX
N4 2JW,51.562352,-0.100393,SMART_TO_SMART_MEX
TD15 1SL,55.7851,-2.01096,SMART_TO_SMART_MEX
AB52 6RR,57.334161,-2.550917,NEW_CONNECTION
EH8 9JR,55.943392,-3.18499,TRAD_TO_SMART_MEX
DD2 5EZ,56.454751,-3.119413,MEDIUM_PRESSURE
RH14 9HZ,51.020751,-0.469796,SMART_TO_SMART_MEX
LA5 0AU,54.19684,-2.843896,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
W12 7LQ,51.512132,-0.222032,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
BR1 2TY,51.392094,0.047083,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
LL30 1PB,53.3027,-3.827547,SMART_TO_SMART_MEX
BN3 1NE,50.827147,-0.158422,NEW_CONNECTION
EH16 5DD,55.934972,-3.165251,SMART_TO_SMART_MEX
WD6 3LH,51.65028,-0.2825,METER_MOVE
SN5 4GY,51.584463,-1.880972,SMART_TO_SMART_MEX
GU34 2DP,51.155137,-0.970532,METER_MOVE
KA9 2EL,55.486177,-4.601036,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
SK17 8PU,53.274821,-1.774079,SMART_TO_SMART_MEX
PL16 0AE,50.641747,-4.2804,TRAD_TO_SMART_MEX
LD1 5LP,52.236489,-3.379747,NEW_CONNECTION
GU7 2FG,51.19074,-0.615833,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
LL15 2LS,53.078468,-3.340644,THREE_PHASE
CH8 7TL,53.272803,-3.216147,TRAD_TO_SMART_MEX
IV36 2TU,57.560327,-3.680294,SMART_TO_SMART_MEX
AB33 8AW,57.237399,-2.698543,TRAD_TO_SMART_MEX
SK8 4AP,53.393259,-2.228334,SMART_TO_SMART_MEX
G74 4QE,55.775792,-4.216237,SMART_TO_SMART_MEX
ZE2 9LD,60.082345,-1.33444,TRAD_TO_SMART_MEX
B77 4ET,52.627229,-1.652514,SMART_TO_SMART_MEX
PO20 7NB,50.769382,-0.778556,THREE_PHASE
BA10 0BX,51.107615,-2.459362,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
PH33 6JY,56.810431,-5.116507,TRAD_TO_SMART_MEX
DE74 2HQ,52.832668,-1.278817,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
CO7 8LU,51.852747,1.068256,TRAD_TO_SMART_MEX
SS6 8UP,51.578075,0.62974,SMART_TO_SMART_MEX
AB42 4YG,57.475625,-1.926351,THREE_PHASE
KY14 6JQ,56.354258,-3.130173,NEW_CONNECTION
LS15 4LN,53.825809,-1.39537,SMART_TO_SMART_MEX
DD8 5PW,56.666402,-2.99081,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
DD8 3JZ,56.652623,-2.889309,TRAD_TO_SMART_MEX
CH6 6EA,53.261822,-3.163527,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
SA64 0EZ,52.004948,-5.004744,SMART_TO_SMART_MEX
KA26 9BQ,55.238333,-4.85585,TRAD_TO_SMART_MEX
CW2 6TF,53.077838,-2.450151,TRAD_TO_SMART_MEX
M4 4AQ,53.490645,-2.238952,SMART_TO_SMART_MEX
PE10 9JF,52.76246,-0.369878,SMART_TO_SMART_MEX
NW2 1QU,51.568188,-0.212919,TRACE_AND_LABEL
G41 5PR,55.84684,-4.294052,SMART_TO_SMART_MEX
CB8 7HL,52.261962,0.370139,TRACE_AND_LABEL
IV53 8UJ,57.351603,-5.554246,NEW_CONNECTION
BD6 3PJ,53.76969,-1.807496,SMART_TO_SMART_MEX
KT11 2QW,51.333164,-0.374521,TRAD_TO_SMART_MEX
GU12 6HP,51.237986,-0.703832,NEW_CONNECTION
SA73 1NY,51.707235,-4.922195,THREE_PHASE
PO21 3SP,50.781807,-0.704824,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
WR4 0NR,52.194732,-2.171385,SMART_TO_SMART_MEX
SP10 2HN,51.195261,-1.486029,SMART_TO_SMART_MEX
KT18 6LW,51.276802,-0.273639,SMART_TO_SMART_MEX
SA18 2UR,51.804239,-3.971571,THREE_PHASE
PR7 5RP,53.649385,-2.72156,NEW_CONNECTION
BB18 6PF,53.914073,-2.139414,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
BB2 5EJ,53.722345,-2.53836,SMART_TO_SMART_MEX
DN36 5PF,53.496653,-0.023133,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
SN16 9DL,51.599435,-2.052938,METER_MOVE
NP25 4AP,51.783567,-2.695619,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
RG8 0NR,51.5491,-1.065635,SMART_TO_SMART_MEX
DN8 4RT,53.623539,-0.950528,SMART_TO_SMART_MEX
DN6 9DQ,53.630438,-1.176331,SMART_TO_SMART_MEX
DT11 8TH,50.885193,-2.2014,SMART_TO_SMART_MEX
OL16 3BD,53.616162,-2.125686,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
PO5 2BG,50.786486,-1.086236,METER_MOVE
IP17 2NQ,52.26602,1.45315,THREE_PHASE
GL3 1GB,51.883361,-2.197782,SMART_TO_SMART_MEX
NR19 1GE,52.674781,0.943473,TRAD_TO_SMART_MEX
NE20 9EJ,55.045826,-1.744326,TRAD_TO_SMART_MEX
W3 9HJ,51.515685,-0.272189,TRAD_TO_SMART_MEX
SN15 2JT,51.390276,-2.050683,METER_REMOVAL
YO24 3LT,53.942691,-1.130557,SMART_TO_SMART_MEX
YO42 1YQ,53.984524,-0.657144,TRAD_TO_SMART_MEX
CR2 0DU,51.347261,-0.074737,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
CB6 2RA,52.388366,0.121672,THREE_PHASE
SK15 1HX,53.494079,-2.061505,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
PO13 8LY,50.807414,-1.192299,TRAD_TO_SMART_MEX
NR16 1SY,52.48276,1.160092,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
TW16 5JS,51.411509,-0.40023,MEDIUM_PRESSURE
HG1 4QY,54.000074,-1.509294,METER_MOVE
SP1 3UF,51.075892,-1.786071,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
AB42 2RP,57.505487,-1.810193,MEDIUM_PRESSURE
LL37 2JD,52.667653,-4.085494,TRAD_TO_SMART_MEX
AB12 5GH,57.071783,-2.252965,MEDIUM_PRESSURE
BD23 3TQ,53.92647,-2.133261,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
NR30 3HJ,52.600121,1.732082,TRAD_TO_SMART_MEX
TR11 3BP,50.152447,-5.073878,SMART_TO_SMART_MEX
BS6 7QU,51.476418,-2.603606,SMART_TO_SMART_MEX
KW17 2QG,58.918803,-2.819432,TRAD_TO_SMART_MEX
AB31 5NR,57.057932,-2.467891,MEDIUM_PRESSURE
KY16 8SR,56.300065,-2.656437,SMART_TO_SMART_MEX
DD3 6NA,56.467415,-2.975071,TRAD_TO_SMART_MEX
IV36 3XU,57.634886,-3.549435,TRAD_TO_SMART_MEX
EX31 1PZ,51.089795,-4.060094,SMART_TO_SMART_MEX
TN5 6EW,51.080076,0.351154,THREE_PHASE
EH31 2DA,56.03581,-2.829185,NEW_CONNECTION
IV2 7AT,57.483978,-4.156577,SMART_TO_SMART_MEX
YO21 3FL,54.48334,-0.638555,SMART_TO_SMART_MEX
DE6 3DW,53.019026,-1.614718,MEDIUM_PRESSURE
EH32 9GA,55.951632,-2.988407,TRAD_TO_SMART_MEX
SK23 6EZ,53.33601,-1.932067,TRAD_TO_SMART_MEX
BD24 0EQ,54.069396,-2.290953,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
IV2 7QA,57.574808,-3.9781,SMART_TO_SMART_MEX
GU11 4AT,51.25459,-0.76084,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
HU15 2NJ,53.779781,-0.648777,SMART_TO_SMART_MEX
